naics_leaf,description
11
21
22
23
311
312
313
314
315
316
321
322
323
324
325
326
327
331
332
333
334
335
336
337
339
4231
4232
4233
4234
4235
4236
4237
4238
4239
4241
4242
4243
4244
4245
4246
4247
4248
4249
4251
441
442
443
444
445
446
447
44719007,TRUCK STOPS
448
451
452
453
454
481
482
483
48411,"GENERAL FREIGHT TRUCKING, LOCAL"
48412,"GENERAL FREIGHT TRUCKING LONG-DISTANCE, TRUCKLOAD"
48421,USED HOUSEHOLD & OFFICE GOODS MOVING
48422,SPECIALIZED FREIGHT (EXC USED GDS) TRUCKING LOCAL
48423,SPECIALIZED FREIGHT (EXC USED GDS) TRCKNG LNG-DIST
485
486
487
488
4885,FREIGHT TRANSPORTATION ARRANGEMENT
491
492
49311,GENERAL WAREHOUSING & STORAGE
49312,REFRIGERATED WAREHOUSING & STORAGE
49313,FARM PRODUCT WAREHOUSING & STORAGE
49319,OTHER WAREHOUSING & STORAGE
51
5111,PUBLISHERS (NOT INTERNET)
52
53
54
55
56
562,WASTE AND REMEDIATION
61
62
71
721
722
81
92
99